93	22	29
134	78	36
183	16	16
215	22	90
130	7	29
33	22	90
182	57	85
285	63	50
19	75	22
245	56	56
254	52	63
154	29	22
173	50	29
191	22	63
8	28	73
209	30	22
44	25	22
198	79	63
41	86	22
236	58	31
149	63	22
223	22	50
22	22	50
140	9	14
105	29	7
103	70	63
275	63	13
238	79	63
219	22	15
212	61	29
178	48	63
213	76	51
167	22	85
135	21	63
228	52	22
97	8	8
50	15	63
1	63	63
260	63	7
220	22	22
90	37	2
189	63	63
9	48	64
16	5	22
119	11	72
84	22	22
262	26	26
80	63	22
194	50	61
239	22	55
166	22	37
199	61	61
143	22	33
204	50	8
137	80	29
246	22	22
195	63	90
185	22	64
12	22	63
52	63	13
158	39	8
264	63	63
91	78	78
163	27	86
229	22	43
81	28	73
247	37	22
232	22	59
26	30	22
156	14	22
145	21	63
114	50	24
96	37	2
35	34	29
5	10	55
116	22	29
161	63	22
3	58	31
202	63	22
251	63	63
42	1	63
131	12	13
77	48	88
53	32	22
241	29	43
172	42	42
157	22	63
126	29	67
27	8	29
148	48	63
243	22	63
231	65	22
75	22	22
49	75	75
39	50	50
292	22	61
152	48	22
17	65	22
122	22	89
274	12	22
226	46	22
180	80	29
18	9	14
40	22	63
99	22	63
133	29	63
30	22	61
147	22	22
74	12	40
162	60	22
218	32	22
197	21	63
58	22	22
217	22	29
176	22	63
224	22	64
268	22	86
11	70	63
127	58	63
95	81	22
124	4	63
248	86	86
51	22	63
205	22	86
256	81	81
225	47	68
179	60	61
76	77	63
169	63	61
175	10	15
85	29	29
196	31	63
136	22	84
36	1	63
108	48	55
32	22	63
101	45	29
151	61	22
244	22	22
210	61	50
102	34	22
201	48	64
233	22	29
112	22	64
110	63	22
261	22	61
214	63	90
187	22	63
28	50	29
291	8	39
69	30	22
66	22	29
100	22	22
98	32	32
208	22	63
83	58	31
47	22	63
222	42	63
170	8	78
129	22	18
139	69	22
45	58	31
150	61	22
192	22	63
153	30	22
267	80	80
82	12	22
2	51	51
79	63	63
230	31	63
240	76	22
37	22	63
160	42	42
54	22	63
128	22	61
206	22	29
115	22	22
207	22	22
121	64	19
104	29	29
279	30	22
138	22	78
92	69	22
34	22	22
211	52	66
281	69	22
4	22	34
61	4	63
277	22	22
184	8	8
141	22	35
290	48	63
200	61	43
88	42	42
159	22	64
165	22	86
57	27	27
15	22	41
287	29	29
14	15	63
38	62	63
283	63	63
6	83	50
48	30	30
72	60	22
242	48	48
235	63	22
46	25	22
168	22	54
280	79	63
86	37	37
111	22	63
282	45	64
174	22	82
10	48	48
155	9	14
190	50	22
13	22	82
263	51	29
113	48	63
269	37	29
60	48	63
70	76	51
89	22	22
107	22	27
7	1	63
64	6	22
271	22	23
288	74	29
43	22	61
132	22	22
253	70	48
73	85	22
221	22	22
237	45	63
65	64	22
62	29	29
94	51	63
71	48	48
117	22	22
106	22	63
259	22	22
142	22	13
273	61	17
23	3	87
144	56	29
278	63	22
227	71	56
289	22	22
250	29	6
284	22	22
68	63	50
123	22	61
276	52	22
249	22	56
286	22	22
258	29	22
188	29	29
203	22	22
0	29	29
193	20	22
109	22	22
31	39	39
181	22	22
266	29	29
293	16	16
120	79	63
234	51	32
87	22	22
146	22	63
63	22	63
270	17	63
24	9	22
56	22	22
164	0	85
186	63	50
21	60	3
257	22	22
255	49	64
55	85	22
78	61	43
252	22	48
171	22	38
265	16	16
118	37	37
29	63	50
125	44	90
67	63	50
272	22	63
20	22	64
177	53	29
25	29	29
59	50	22
216	64	80
